,trueLabels,predictedLabels
2252,ham,ham
865,spam,spam
4509,ham,ham
3411,ham,ham
5241,ham,ham
1136,spam,ham
94,ham,ham
4060,ham,ham
2210,ham,ham
4502,ham,ham
1306,spam,ham
4934,ham,ham
5523,ham,ham
1790,ham,ham
718,spam,spam
5097,ham,ham
476,ham,ham
4178,ham,ham
2871,ham,ham
3989,spam,spam
4024,ham,ham
2806,spam,spam
1763,ham,ham
5257,ham,ham
2419,spam,spam
1682,ham,ham
5106,ham,ham
5371,ham,ham
4584,spam,spam
1194,ham,ham
1724,ham,ham
169,ham,ham
3001,ham,ham
4942,ham,ham
934,spam,spam
1664,ham,ham
4226,ham,ham
1199,ham,ham
2073,spam,spam
4827,ham,ham
3541,ham,ham
257,ham,ham
3181,ham,ham
4397,ham,ham
3791,ham,ham
3151,spam,spam
185,ham,ham
1272,ham,ham
444,ham,ham
1142,ham,ham
1489,ham,ham
2662,spam,ham
4051,ham,ham
1509,ham,ham
59,ham,ham
3234,ham,ham
1238,ham,ham
5032,ham,ham
4130,ham,ham
2795,ham,ham
7,ham,ham
4376,ham,ham
4381,ham,ham
936,ham,ham
2165,ham,ham
3415,ham,ham
4997,ham,ham
60,ham,ham
2474,ham,ham
3992,ham,ham
4210,ham,ham
1450,ham,ham
1613,ham,ham
5013,ham,ham
2653,ham,ham
2199,ham,ham
4866,ham,ham
4329,ham,ham
516,spam,spam
3075,ham,ham
1147,ham,ham
3153,spam,spam
2066,ham,ham
1437,ham,ham
4772,ham,ham
4014,spam,ham
3511,ham,ham
1543,spam,spam
1754,ham,ham
420,ham,ham
5419,ham,ham
1463,ham,ham
3120,ham,ham
2264,ham,ham
2642,ham,ham
1044,spam,ham
5414,ham,ham
5223,ham,ham
1926,ham,ham
1977,spam,spam
1758,ham,ham
3334,ham,ham
1500,ham,ham
5491,ham,ham
407,ham,ham
402,ham,ham
5543,ham,ham
4748,ham,ham
4877,spam,spam
2234,ham,ham
1648,ham,ham
3106,ham,ham
4692,ham,ham
986,ham,ham
1674,ham,ham
3380,spam,spam
4274,ham,ham
769,ham,ham
933,ham,ham
2444,ham,ham
11,spam,spam
284,ham,ham
2741,spam,ham
944,ham,ham
221,ham,ham
1476,ham,ham
3028,ham,ham
1900,ham,ham
2014,ham,ham
2675,ham,ham
1518,ham,ham
2105,ham,ham
3793,ham,ham
3428,ham,ham
3655,ham,ham
1009,ham,ham
2303,ham,ham
1082,ham,ham
4136,ham,ham
6,ham,ham
778,ham,ham
4100,spam,ham
1760,ham,ham
1140,ham,ham
1121,spam,spam
2940,ham,ham
1030,ham,ham
747,spam,spam
1413,spam,spam
2516,ham,ham
150,ham,ham
1882,ham,ham
4777,ham,ham
3165,spam,spam
1183,ham,ham
2479,spam,spam
3589,ham,ham
2861,spam,spam
72,ham,ham
264,ham,ham
5551,ham,ham
1528,ham,ham
2101,ham,ham
4409,ham,ham
3836,ham,ham
1213,ham,ham
1723,ham,ham
1513,ham,ham
5221,ham,ham
537,ham,ham
4235,spam,spam
5275,ham,ham
1223,ham,ham
4697,ham,ham
4498,spam,spam
1059,spam,spam
3582,ham,ham
3271,ham,ham
1530,ham,ham
3212,ham,ham
1667,ham,ham
4090,ham,ham
2688,ham,ham
167,ham,ham
3641,ham,ham
5436,ham,ham
1155,ham,ham
1016,spam,spam
4200,ham,ham
2001,ham,ham
4,ham,ham
554,ham,ham
3702,ham,ham
5270,ham,ham
4150,ham,ham
4755,ham,ham
2667,ham,ham
3497,ham,ham
561,ham,ham
1722,ham,ham
1621,ham,ham
5249,ham,ham
3858,spam,ham
1024,ham,ham
4144,ham,ham
4490,ham,ham
5084,ham,ham
2607,ham,ham
3472,ham,ham
2302,ham,ham
1596,spam,ham
691,ham,ham
864,ham,ham
522,ham,ham
2421,ham,ham
1608,ham,ham
2948,ham,ham
2246,spam,ham
